Salary Range,Link,Job Title,Job Teaser,Advertiser,Classification,Location,Strong Words,Job Description,Category
0-70000,https://www.seek.com.au/job/39756451,Junior Data Analyst,Junior Data Analyst needed for a growing Pharmaceutical Organisation on the Northern Beaches. Must have strong SQL and Excel skills. ,Hays Information Technology,Information & Communication Technology,Sydney,"Your new company Your new role ""What youll need to succeed"" ""What youll get in return"" What you need to do now","Junior Data Analyst needed for a growing Pharmaceutical Organisation on the Northern Beaches. Your new company A cutting edge pharmaceutical organisation is looking for a junior data analyst to join their Northern Beaches office in Sydney on a permanent basis. Your new role As the junior data analyst you will be extracting data from the in house database using SQL and presenting the information in a user friendly way through Excel. You will be working closely with the internal stakeholders of the business including senior management. This is an opportunity to grow within your career and join an organisation at an exciting time in their data map. What you'll need to succeed Strong SQL and Excel experience Good attitude and willing to learn new things Strong communication skills Experience with AWS, SSRS and SSIS would be beneficial What you'll get in return You will become a part of a growing business which offers genuine career progressions and opportunity to develop within your career. You will have access to business decision makers and play an integral part in the data journey of this organisation. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV or email Hannah Scott. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.",Data Analyst
0-70000,https://www.seek.com.au/job/39763876,Data Analyst,A great opportunity for an enthusiastic data analyst to join our team in Ultimo,Private Advertiser,Information & Communication Technology,Sydney,About the Role Role requirements About The WIne Collective,"The Wine Collective is looking for an up-and-coming data analyst with an entrepreneurial mindset to take our data to the next level. About the Role Analysis and generation of reports and campaign lists for all channels and business units. Generate insights around customer purchasing and engagement behaviour and use those insights to generate contact strategies. Build re-usable reports and insights to empower end-users. Review and recommend new data management solutions, including data warehousing, segmentation and intelligence solutions. Review and recommend AI powered insights technologies to support customer specific on-site experiences, product recommendations and contact strategies. Use technology to surface key metrics to departments, including evaluation, proposal and implementation of new relevant metrics that better allow the business to understand customer journeys and financial outcomes. Role requirements Tertiary qualifications in business, IT or a related field. Experience with SQL querying (Oracle, PostgreSQL desirable). Experience with data visualisation platforms. Experience working with a variety of data sources, such as NetSuite, desirable. The ideal candidate will possess strong analytical skills, and a solid understanding of statistical analysis in order to extract relevant, valid insights and make those available to the business. Outstanding communication skills are essential to understand departmental requirements and translate them into actionable insights. About The WIne Collective With over 70 years of combined history, The Wine Collective is born out of the recent merger between The Wine Society, Australia's oldest wine club founded in 1946, and the Online Liquor Group, one of Australia's fastest growing independent online retail groups.",Data Analyst
0-70000,https://www.seek.com.au/job/39755816,Data Analyst / Database Officer,A full-time position is available for a Data Analyst/Dayta Base Officer at Douglass Hanly Moir Pathology’s head office at Macquarie Park.,Douglass Hanly Moir Pathology,Information & Communication Technology,Sydney,,"A full-time position is available for a Data Analyst / Database Officer at Douglass Hanly Moir Pathology’s head office at Macquarie Park. Hours: Monday to Friday, 7:30am – 3:30pm or 10.00 am – 6.00 pm. The successful applicant will be part of a small team and must be a highly motivated self-starter, with a keen interest to learn new computer skills and an ability to relate to all levels of the workforce. Excellent communication and interpersonal skills are essential. Specific duties include: Assisting in development, updating and maintaining websites, DHM Internet (external) and DHM Intranet (internal). SQL data extraction for graphical dashboards and management reporting. Liaising with both surgeries and Area Managers to facilitate the set-up and customisation of new and existing doctors and clients on the internal computer systems Investigating and resolving issues for clients Monitoring all system printers, including large production devices, and assisting in the resolution of issues Previous experience with any of the following would be an advantage: Microsoft Power BI, SQL Databases, Crystal Reports, SharePoint 2013, Nintex workflows, HTML coding Microsoft Office, specifically Outlook, Excel and Word Medical terminology Medical center administration/reception Apollo LIS (internal computer system) or company operations Use of production printers or a keen interest in technology Applications should be emailed to the Human Resources Department, jobs@dhm.com.au , quoting reference (R9047) in the subject line of your email, by August 30, 2019. Applicants for this position must have the appropriate working rights to work in Australia, and will be required to sign an acceptance that the Company may conduct a police check. Douglass Hanly Moir Pathology is an equal opportunity employer.",Data Analyst
0-70000,https://www.seek.com.au/job/39746760,Data Analyst,The Data Analyst role encompasses analysing the health and health service needs of the Indigenous population within Katungul’s service footprint.,Katungul Aboriginal Corporation Community and Medical Service,Healthcare & Medical,"Wollongong, Illawarra & South Coast",REPORTS TO: DIRECT REPORTS: HOURS: CLASSIFICATION: POSITION CONTEXT KATUNGUL’S VALUES 1. TRUST 2. LEADERSHIP 3. RESPECT 4. PROFESSIONALISM 5. COMMITMENT MAIN DUTIES AND RESPONSIBILITIES: RELATIONSHIPS RELEVANT TO ROLE Specific Responsibilities GENERAL RESPONSIBILITIES APPLICABLE TO ALL STAFF CONDITIONS OF EMPLOYMENT: Selection Criteria - Essential Selection Criteria - Desirable GENERAL INFORMATION HOW TO APPLY FOR THIS POSITION 5.00pm Tuesday 3rd September 2019 Apply,"REPORTS TO: Director Health Services DIRECT REPORTS: Nil HOURS: Full Time (negotiable) CLASSIFICATION: Social, Community, Home Care and Disability Services Industry Award 2010 Level 5 (subject to skills/qualifications) POSITION CONTEXT Katungul Aboriginal Corporation Regional Health & Community Services is a not for profit organisation providing culturally attuned, integrated health and community services on the Far South Coast of New South Wales. Katungul is managed by a Chief Executive Officer reporting to a Board of Directors. Katungul provides a broad range of services including: Primary Health Care Medical Specialist and Allied Health Services Child and Maternal Health Oral Health Mental Health Emotional Health Alcohol and Drug Services NDIS Integrated Team Care (ITC) The Data Analyst role has responsibility for analysing the health and health service needs of the Indigenous population within Katungul’s service footprint, evaluating commissioned activities, reporting on performance, and data governance within the organisation. The Data Analyst is an integral member of a collaborative team that works closely with Katungul’s service areas to deliver the best outcomes for our Community. The Data Analyst role is instrumental in managing and transforming Katungul’s data assets into meaningful information and knowledge for quality improvement, planning, decision making and operational functions, as well as for performance reporting. The Data Analyst will be responsible for data management from end-to-end, from collecting data to developing resources to assist others in interpreting its relevance. The role is also central to realising Katungul’s data management and data governance agenda and working with internal and external stakeholders to promote the importance of our data, while protecting its sovereignty. KATUNGUL’S VALUES 1. TRUST Open and honest communication within our team and our community Creating a safe and supportive environment for all our staff and our people Remaining true to ourselves – our team, and the people we serve 2. LEADERSHIP Acting as role models for ourselves and for our entire community Leading by example and demonstrating unity in our decision-making Willingness to listen & encouraging others to achieve their goals & aims 3. RESPECT Showing tolerance, and treating one another with dignity and support Holding ourselves in high esteem and accepting the difference in others Exhibiting loyalty and pride in our values, and in our Aboriginal culture 4. PROFESSIONALISM Maintaining a strong work ethic, with passion and belief in what we do Persistently evaluating, reflecting, and improving ourselves and our service Displaying honesty, fairness and equality in all our interactions 5. COMMITMENT Showing true dedication and dependability in all our communication & actions Having confidence in one another, and in our ability to embrace new ideas Accepting responsibility for our actions and learning from our mistakes. MAIN DUTIES AND RESPONSIBILITIES: Support the collection, validation, storage and analysis of data for service monitoring, reporting, evaluation, quality control and improvement. Develop high quality visualisations of key indicators for all reporting requirements (e.g. Quarterly, Bi-Annual, Annual Reports, local quality improvement initiatives and ad hoc requests). Manage and improve processes for data entry and data quality of key data assets. Along with Coordinators, administrate clinical information system access, confidentiality and security in accordance with relevant standards and privacy regulations to ensure data integrity and data reporting practices are consistent and compliant. This includes input into staff training during on boarding. Contribute to the development and delivery of internal training workshops on clinical and organisational data management, governance and analytics. Liaise with internal and external stakeholders to determine information needs. Perform other duties commensurate with skills and experience as required. RELATIONSHIPS RELEVANT TO ROLE This position will be required to represent Katungul with external entities as indicated or necessary, including but not limited to: Other Aboriginal Community Controlled Health Services and Aboriginal Medical Services Peak bodies – e.g. AHMRC, NACCHO Local Health Districts (Southern NSW LHD) Primary Health Networks (Coordinare) NSW Ministry of Health and affiliates (such as the Centre for Aboriginal Health) Australian Government Department of Health (IAHP) Local government Universities Health professionals and professional Networks External Primary Care Service Providers Specific Responsibilities Accountability Ensure that targets and KPI’s are achieved in line with Katungul’s funding agreement and National Key Performance Indicators Assist with creating, maintaining and updating policies and procedures pertaining to the creating, storage, manipulation and distribution of data Maintain standards as per Accreditation requirements e.g. AGPAL and QIC Work with Katungul Executive to address any anticipated or actual difficulty in achieving KPI’s and/or other reportable performance indicators Health Education Educate internal and external workers on issues relevant to the health of Aboriginal people, using data as an enabler Provide education to clients and community on care, chronic disease management and health prevention Promote cooperative and collaborative working relationships with other health service providers   and Aboriginal community organisations in the area With the Director Health Services, participate in clinical research/needs assessments as required Participate in events, activities and programs relevant to the health of Aboriginal people Collate regular and accurate service data in accordance with policy and funding requirements Provide regular reports to the Director Health Services regarding clinical health statistics Participate in Meetings, Workshops and Mandatory Training GENERAL RESPONSIBILITIES APPLICABLE TO ALL STAFF Be responsible to Director Health Services Work within Katungul’s policies and procedures Commitment to culturally appropriate service provision Provide services in a way that recognises the many factors that affect a person’s health status Commitment to client-centred care, integrated service provision and trauma informed practice Be a positive role model to clients, staff and visitors Work as part of the team Participate in continuous improvement and accreditation activities Maintain any professional qualifications/registrations required as part of the position Keep records and client notes in a professional way Ensure that clients and stakeholders understand how to make a complaint To perform any other duties as required by the immediate supervisor or the CEO CONDITIONS OF EMPLOYMENT: Terms and conditions of employment will be based on the   Social, Community, Home Care and Disability Services Industry Award (MA 000100) Some on-call work or after-hours work may be required in this position, under approval of the appropriate Director This position will require some travel to Katungul’s other Branches, outreach locations and community settings Possession of a Driver Licence is essential This position will require work within Katungul’s medical clinics, where the worker is expected to follow Katungul’s WHS policies and NSW Health Infection Control Procedures This position will require work with vulnerable or at-risk clients. The worker is expected to follow Katungul’s WHS procedures and Mandatory Reporting obligations at all times in order to ensure safety of staff and clients Selection Criteria - Essential A sound knowledge and understanding of the Aboriginal Community, with a comprehensive understanding of the health issues impacting the lives of Aboriginal and Torres Strait Islander people with a strong commitment to improving health outcomes. Relevant tertiary qualifications and/or relevant work experience in statistics, epidemiology or data science. Demonstrated experience in the acquisition, analysis, interpretation and reporting of health care data, while ensuring quality and accuracy of data. Highly competent computer skills including Microsoft Excel and Office suite with the willingness to develop competence in new technologies and software packages (such as Python and Business Intelligence Tools). Demonstrated experience in the development of user friendly reporting platforms appropriate to user needs and specific requirements. Well-developed written and verbal communication skills including the ability to convey technical concepts to a non-technical audience. Demonstrated experience working collaboratively with management and staff within and across teams to achieve organisational outcomes, and an ability to be flexible and adapt to changing work priorities. Sound organisational skills with proven ability to work independently as well as a member of the team and deliver outcomes to time and scope. Selection Criteria - Desirable While this is not an Aboriginal Identified position, Aboriginal and Torres Strait Islander people are strongly encouraged to apply. Familiarity with the National Key Performance Indicators and Practice Incentive Payment initiatives relevant to Indigenous Primary Care, including their reporting platforms. Knowledge of the Medicare Benefits Schedule, in relation to the Primary Care setting. Knowledge and understanding of trends, developments and issues in primary health care, particularly related to health data. Familiarity with clinical information systems, ideally Communicare. GENERAL INFORMATION All appointees to positions at Katungul ACRH&CS are required to obtain a Nationally Coordinated Criminal History Check (Police Check) and a Working With Children Check. HOW TO APPLY FOR THIS POSITION Please make sure you address all Selection Criteria and attach a Cover Letter with a Resume. Applicants who do not address all Selection Criteria will not be considered for the position. The closing date for applications is 5.00pm Tuesday 3rd September 2019 . Email your application to humanresources@katungul.org.au If you have any queries please email Human Resources on the above email address. Or click on Apply for this job",Data Analyst
0-70000,https://www.seek.com.au/job/39753046,Data Analyst,"Work for a well renowned local government offering a great culture, exciting projects and a very high likelihood of extension!",Greythorn Experis,Information & Communication Technology,Melbourne,"The role: You will be responsible for: Skills: Greythorn Safesearch GT-X Global Attract www.experis.com.au ManpowerGroup www.experis.com.au Tom BullData ScienceRecruitment Consultant ""Lets Connect"" https://www.linkedin.com/in/thomas-bull/+61 3 9604 4209","Work for a well renowned local government offering a great culture, exciting projects and a very high likelihood of extension! The role: In this role you will support the technology services branch by delivering data analysis and migration to implement a new HCM solution which will service approx 2000 employees. You will be responsible for: Developing Data Migration strategy Requirements analysis Data cleansing Writing scripts for automation (Extracting and converting data) Developing plans for testing/loading data Produce regular updates on progress Work with project managers and team members to organise activities, conduct risk assessment and give regular documentation Work on data migration for smaller projects Skills: Data mapping SQL in Oracle MS SQL Server Understanding of PMBoK or Prince2 Identify and produce deliverables Excellent written and verbal communication skills If you feel the above role is for you, APPLY NOW! Due to a high volume of applicants, only successful candidates will be contacted. Experis ANZ is parent to a portfolio of brands; Greythorn, Safesearch, GT-X and Global Attract . These brands make up our core specialisations for Technology & Digital, Executive, Engineering and Workplace Health, Safety and Environment. When you apply for this opportunity you will be directed to the parent website www.experis.com.au to lodge your application. Experis is part of the ManpowerGroup , a global leader in offering end to end workforce solutions. If you're curious and willing to have a conversation about this role, please pick up the phone and speak with our recruitment specialist below. Even if this doesn't sound like the right role for you, we encourage you to join our talent community so your skill set can be the first considered when another opportunity arises. Visit our website to register www.experis.com.au Tom Bull Data Science Recruitment Consultant Let's Connect https://www.linkedin.com/in/thomas-bull/ +61 3 9604 4209 By submitting your resume and other personal information with this application you are consenting to this information being collected in line with our privacy policy. Follow the link to learn more - www.greythorn.com.au/privacy-policy",Data Analyst
0-70000,https://www.seek.com.au/job/39764561,Investment Data Analyst (Graduate),Become a key contributor to our Data & Analytics team whilst growing your skill with a data industry leader.,Financial Express Australia,Banking & Financial Services,Sydney,,"FE Australia is recruiting for a junior investment data analyst to join the team in our Sydney CBD office. This customer facing role provides a great introduction to anyone wanting to gain experience in rapidly evolving financial technology and data sector.   Working with asset managers as part of a global team, the successful candidate will be responsible for the development and maintenance of our Australian & New Zealand fund database. The junior investment data analyst will work across FE’s database and   Precision+ product range.   Interacting directly with asset managers, they will gain knowledge of the funds industry as well as additional technical skills relating to databases, B2B software and Microsoft applications.   The role spans many business functions including sales, account management, support and IT – providing opportunities for people to gain exposure in multiple areas and develop specialist skills The role is full time (37.5 hours per week) and based at the Sydney office. Key Areas of Responsibility: Begin to understand the wealth management industry that closely relate to data on managed funds. Become familiar with the FE database and requirements from fund managers to help enhance the accuracy and coverage of fund data. A high level of customer and fund manager interaction (both face to face and via phone) to explain FE processes, data requirements and provide support. The need to liaise with internal teams based across the globe to ensure market fund data is being efficiently ingested and tackle any emerging quality and coverage issues. Be confident in explaining FE products to fund managers and other product issuers to help support the sales team and drive sales leads across the product range. Suitable candidates will be: Educated to a degree level or equivalent. Excellent written and verbal communication skills. Willing to engage in all areas of the business to develop knowledge. Highly motivated and used to working to multiple deadlines. An interest in the fund management industry, preference for some fund knowledge. Personable, able to make and maintain strong relationships with clients and fund managers. Intelligent, with a good grasp of IT along with interest to increase excel knowledge and SQL skills. Positive, social and can adapt into a vibrant work culture. Candidates must have Australian residency and be able to work in Australia About FE FE is a leader in the provision of investment data, software tools and performance analysis to the financial services industry. Formed in London in 1996, we are a private company with a strong international presence throughout Europe and Asia Pacific. We are dynamic, entrepreneurial and focused on exceeding our clients' expectations, above all we help our clients to be better informed enabling them to make better investment decisions. We have earned a reputation for excellence through years of experience in combining our specialist skills in three key fields - data, software and investment knowledge. FE has been active in Australia for many years, serving the information needs of global fund management groups with a presence here. We opened our Sydney office in 2014 with a view to growing our business more proactively in Australia and New Zealand, and to serve the needs of a growing portfolio of customers. We currently collect data directly from over 250 Australian and New Zealand based fund managers, supporting a database of over 14,000 local managed fund, superannuation and retirement income products.",Data Analyst
0-70000,https://www.seek.com.au/job/39758527,Data Analyst,"Close to train eastern suburbs, Established market leader going through an integration - interesting projects",Niche 212,Banking & Financial Services,Sydney,What you will do: Skills and experience:,"Work for a well-recognised national Australian organisation that has now become part of a large global company which has been going   through an integration of a new acquisition,   require a Data Analyst to join the Projects team. Reporting to the Pricing Manager you will work with the team to build models on excel and analyse data to produce insights that will drive greater overall profitability for the company. What you will do: Day to day you will work on complex data sets that correlate between internal systems and external client systems tracking, analysing, and building reports to ensure the systems are in sinc for their order process system to work efficiently, along with various adhoc projects involving the integration. Stakeholder engagement is extensive within this role so an articulate collaborative communication style is important. Skills and experience: Essentially you are tertiary qualified in statistics, mathematics or a relevant degree. Essential skills are advanced working knowledge of SSRS, SQL 2017   and excel at preferably macro level analysing data and producing insights. The company offers an innovative, fast paced business casual collaborative work environment. Please send a WORD version of your resume for review as we are hiring immediately.",Data Analyst
0-70000,https://www.seek.com.au/job/39733105,Statistical Data Analyst,Seeking a commercially savvy and proven Statistical Data Analyst to support strategic decision making for a successful hotel management Group.,Performance Recruit,Accounting,Melbourne,,"Our client is a well-established and market leading hospitality management group operating a diverse portfolio of iconic venues throughout Melbourne. With an ongoing commitment to customer service and striving to be the best within an ultra-competitive market, we are seeking a highly experienced analyst, with a strong commercial acumen, to support the Executive Management Team in driving growth through data-based business decisions. As Statistical Data Analyst, you will engage with key stakeholders including Executive Management, venue-based management and industry professionals to gain a strong understanding of the hospitality landscape and to identify trends and opportunities that ensure the Group is ‘ahead of the curve.’ With a number of revenue streams within the hospitality collection of venues, you will provide in-depth insight on Food & Beverage, Gaming and Wagering operations, cognisant of ever-changing legislation and regulatory requirements, and with knowledge of the different markets for each venue. Key responsibilities for this newly created role include: Influence the development and execution of the strategic plan by undertaking qualitative and quantitative analysis of potential strategic business initiatives and providing business case assessments, Gather, analyse, evaluate and report on business performance, including financial results and profitability across departments in alignment with business strategies and objectives, Provide information and analysis from the customer insight and suggest courses of action to maximise customer engagement, Assist in the identification of industry trends and patterns by providing support with the commercial decision-making, data-modelling and cost-benefit analysis processes, Deliver presentations to Executive Management with actionable analysis that supports decision making to meet strategy and drive profitability, Conduct regular reporting and analytics on key business performance indicators, including forecasting accuracy, product margins, profitability etc., Provide regular reports to enable visibility of performance to key stakeholders, including financial analysis, identification of opportunities and risks, and highlight trends, Streamlining reporting functions to ensure efficiency and timely information. To be considered for this role, you must combine a tertiary degree in analytics, mathematics, statistics, computer science, or other quantitative disciplines, with proven results in providing strong data analysis to influence and drive commercial outcomes for a business. As a hospitality business, you must have a detailed and in-depth understanding of F&B, Gaming and Wagering operations. Additionally, you will need advanced IT related skills, with a broad understanding of different CRM systems and the ability to use high level skills to segment, analyse and extract data from multiple databases. The successful candidate will be offered an attractive remuneration package, the opportunity to work in a high performing team and contribute to the success of the business well into the future. To apply for this position, please select Apply below. For more information, please contact Performance HR on 9827 4437 .",Data Analyst
0-70000,https://www.seek.com.au/job/39753343,Start your new career as a Data Analyst,Start your career as a consultant data analyst/data scientist. The Data School provides training and industry experience in Tableau and Alteryx.,The Data School Pty Ltd,Information & Communication Technology,Sydney,Data is exploding data analysts data scientists The Data School Australia How does it work? Tableau Alteryx Do I get paid to learn? Key dates Act quickly 6th October\u202f2019 What’s in it for you Tableau Alteryx Details of the role What we’re looking for Passion Data-driven minds Tech-Savvy Curiosity Resourcefulness Fast learner Creativity Application Process Join Tableau Get inspired Find your data  Create your Viz Share it with us one The Interview DATA,"Data is exploding The demand for great data analysts and data scientists has never been higher than it is today.   There simply aren't enough to fill the positions being advertised. The Data School Australia is creating the next generation of great data analysts and data scientists. If you are  passionate about  data,we have the best way to get you into your  new data career. How does it work? The successful applicants will be  immersed  into 4 months of intensive classroom training based on the market-leading technologies, Tableau and Alteryx . In addition, you will be trained in all the soft skills needed to become a consultant  from our  team of experts. The classroom training is followed by four 6-month client engagements with Australia's leading organisations to give you real-world experience to kick-start your new career. Do I get paid to learn? Yes.   The Data School offers you a competitive salary while you  study and gain valuable industry experience. Key dates The Data School takes new consultants three times each year. The starting dates for each round is April, August, and December. Act quickly - the applications for the December intake close on the 6th October, 2019 What’s in it for you Become a guru in Tableau , the market-leading data visualisation technology Become a guru in Alteryx , the market-leading data analytics platform It’s not just data that’s important – learn soft skills that are crucial for your success as a data consultant Gain real-world experience by working with the leading organisations in Australia Learn from the best data and analytics experts in Australia Study in a creative work space  in central Sydney Details of the role Four months of classroom training Four client engagements, each 6 months long The result  is a 28  month, fixed-term contract to start your new career as a data consultant $55,000 per annum that will increase in the second year We’re sorry – we can’t sponsor you, so make sure you can work in Australia When you finish the contract, the world is your oyster. You can stay on as a consultant and work on some fascinating projects or step  out into the big wide world of data that has been opened up to you What we’re looking for Here at the Data School, we don’t look at what’s on your CV or your experience. What we are looking for is : Passion – we want you to want it, to have a true desire to learn and motivation to improve yourself and your skills every day Data-driven minds - you love the idea of immersing yourself in data to drive meaningful insights and create jaw-dropping outcomes Tech-Savvy – we don’t need you to have experience, but working with tech comes naturally to you, and you enjoy it Curiosity – questions are falling out of your mouth, you always want to know how and why Resourcefulness – sometimes, the answers aren’t always in front of you, you’ll need ingenuity and resourcefulness to find answers to those questions you’re asking Fast learner – picking new things up every day whilst retaining previous knowledge will help you be successful in this role Creativity - the goal is delivering outcomes. You’ll need creativity to deliver those outcomes in meaningful, digestible forms Application Process We do things differently and we’re proud of it. So forget about the application process you might be used to. Here’s how the process works: Join Tableau - Join the community and download Tableau Public by  creating a new account. Get inspired – Check out  Tableau Public Gallery, there are brilliant examples for you to look at and research. Find your data - Choose any data set you want! We mean it; from politics to sport, TV and popular culture. Tableau provide many data sets on their  resources page. Create your Viz - Now the fun begins! Once you have your data set, you can begin creating your winning viz! Share it with us - Once your work is live on Tableau Public,  send it to us! Please make sure you send us the link to only one viz! The Interview - If you impress us with your passion, innovation and understanding of data, you will be invited to an interview with our Head Coach and you've started the application We are taking applications for places at all times.  If you share the same inquisitive nature, have a passion for getting to the truth by way of data, then register your interest.   Send  us your contact details to receive more information on starting your new career in DATA .",Data Analyst
0-70000,https://www.seek.com.au/job/39705880,Junior Data Analyst - North Shore,Join Infomedia's PMO team as a Junior Data Analyst - This is a 2 month contract role! ,Infomedia Ltd,Information & Communication Technology,Sydney,"data analyst. few years of data analytics experience behind you ""Heres what you will be doing:"" This is why our team love working for us:","Infomedia are on the hunt for a data analyst. You will be instrumental in mining our subscription data to find meaningful trends and analysis to aid management decisions; as well as developing and running monthly reporting on our internal subscriptions data; and assist in other subscription facing applications and processes as secondary responsibilities. To be successful as a data analyst you will have a few years of data analytics experience behind you and will need to be able to demonstrate an analytical mindset, enjoy problem solving and understand how to ask the right questions to deliver solution focused outcomes; you will also be a strong team player with an ability to communicate well and have experience in presenting data driven insights in an effective and impactful manner. You'll have a good understanding of fundamentals of data structures, and databases, and a healthy curiosity to get to the bottom of problems will an asset. It is essential that the applicant is well versed in SQL and can work with basic and advanced SQL queries. You will also have a willingness to drive efficiency, take ownership and challenge the norms. You will possess leadership qualities that instil confidence in executive stakeholders. Here's what you will be doing: Perform data management and analysis on data residing in our data-lake; find trends, correlations and draw inferences that can inform business decision making Build models to assist in understanding historical data that can lead to predicting trends Maintain and audit databases ensuring they are up to date with accurate data including data exception reporting and missing interval data Be involved across all elements of the data analysis process including data modelling, database design/development, data mining, analysis trends & profile building Assist senior management in implementing improvements to existing business processes around data Participate and add value to workshops/ brainstorming sessions and take ownership of exploratory operations This is why our team love working for us: Put simply, we’re a business that are a global leader in our industry on the cusp of a period of growth, innovation and evolution and we have no plans to slow down anytime soon. We develop beautifully crafted and data driven software solutions for some of the best and most well-known automotive brands across the globe and so the day to day varied work coupled with our relaxed, informal yet high performing environment are the key things that makes our team happy. Alongside the interesting work, complex problems to solve and the ability to work on a suite of globally recognized products, we offer: Onsite Gym Quarterly meetups Subsidised lunches Games & Recreation area with Playstation, Pool table + Table tennis Social events Casual Fridays Free Parking Work along side awesome people! If you think this sounds like you and you would like to be part of a culture that rewards performance and encourages ideas, then drop us your profile and we look forward to hearing from you.",Data Analyst
